Pais,Superficie,Habitantes,Continente
Afganistán,652230,36931000,Asia
Albania,28748,2348000,Europa
Alemania,357580,83588000,Europa
Andorra,468,88000,Europa
Angola,1246700,36171000,África
Anguila,91,15000,América (Caribe)
Antigua y Barbuda,443,96000,América (Caribe)
Arabia Saudita,2149690,35952000,Asia
Argelia,2381741,47750000,África
Argentina,2780400,47620000,América del Sur
Armenia,29743,3083000,Asia (Cáucaso)
Aruba,180,108000,América (Caribe)
Australia,7741220,27514000,Oceanía
Austria,83871,9201000,Europa
Azerbaiyán,86600,10318000,Asia (Cáucaso)
Bahamas,13880,409000,América (Caribe)
Bangladés,148460,177567000,Asia
Barbados,430,283000,América (Caribe)
Baréin,760,1609000,Asia
Bélgica,30528,11842000,Europa
Belice,22966,418000,América Central
Benín,112622,14192000,África
Bermudas,54,64000,América (Caribe)
Bielorrusia,207600,9083000,Europa
Birmania,676578,51305000,Asia
Bolivia,1098581,11463000,América del Sur
Bosnia y Herzegovina,51197,3140000,Europa
Botsuana,581730,2456000,África
Brasil,8515767,213421000,América del Sur
Brunéi,5765,460000,Asia
Bulgaria,110879,6425000,Europa
Burkina Faso,274200,24092000,África
Burundi,27830,12623000,África
Bután,38394,785000,Asia
Cabo Verde,4033,588000,África
Camboya,181035,17584000,Asia
Camerún,475440,29879000,África
Canadá,9984670,41581000,América del Norte
Catar,11571,3110000,Asia
Chad,1284000,19316000,África
Chile,756102,20208000,América del Sur
Chipre,9251,981000,Asia
Ciudad del Vaticano,1,1000,Europa
Colombia,1141748,53473000,América del Sur
Comoras,1862,914000,África
Corea del Norte,120538,26075000,Asia
Corea del Sur,100210,51160000,Asia
Costa de Marfil,322463,33180000,África
Costa Rica,51179,5396000,América Central
Croacia,56594,3836000,Europa
Cuba,109884,10971000,América (Caribe)
Curazao,444,162000,América (Caribe)
Dinamarca,2235424,6005000,Europa
Dominica,751,66000,América (Caribe)
Emiratos Árabes Unidos,83600,11336000,Asia
Ecuador,256370,18104000,América del Sur
Egipto,1001450,108029000,África
El Salvador,21041,6050000,América Central
Eritrea,117600,3607000,África
Eslovaquia,49035,5414000,Europa
Eslovenia,20273,2132000,Europa
España,505370,49316000,Europa
Estados Federados de Micronesia,702,114000,Oceanía
Estados Unidos,9833517,342181000,América del Norte
Estonia,45228,1369000,Europa
Etiopía,1104300,111705000,África
Filipinas,300000,114124000,Asia
Finlandia,338145,5646000,Europa
Fiyi,18274,903000,Oceanía
Francia,643801,66409000,Europa
Gabón,267667,2469000,África
Gambia,11295,2492000,África
Georgia,69700,3705000,Europa
Ghana,238533,33512000,África
Gibraltar,7,40000,Europa
Granada,344,110000,América (Caribe)
Grecia,131957,10345000,Europa
Groenlandia,2166086,57000,América del Norte
Guadalupe,1628,374000,América (Caribe)
Guam,544,151000,Oceanía
Guatemala,108889,18086000,América Central
Guayana Francesa,83534,308000,América del Sur
Guernsey,78,65000,Europa
Guinea Ecuatorial,28051,1938000,África
Guinea,245857,14364000,África
Guinea-Bisáu,36125,1821000,África
Guyana,214969,836000,América del Sur
Haití,27750,12009000,América (Caribe)
Honduras,112777,10039000,América Central
Hong Kong,1104,7528000,Asia
Hungría,93028,9526000,Europa
India,3287263,1417492000,Asia
Indonesia,1904569,284447000,Asia
Irak,438317,46874000,Asia
Irán,1648195,87039000,Asia
Irlanda,70273,5485000,Europa
